,yrke
electro-therapist,2
seminarieadjunkt,2
regierungsrat,2
dean,2
runolog,2
gelbjutare,2
filmforskare,2
public health officer,2
protestant reformer,2
direktörsassistent,2
town clerk,2
arbetare,2
kansler,2
stadsfullmäktige,2
artistchef,2
danskonstnärinna,2
äventyrare,2
prins av sverige och norge,2
husmor,2
religionsforskare,2
folksskollärare,2
kommersråd,2
med lic,2
hydrologist,2
spion,2
dispaschör,2
bokkonstnär,2
hm drottningens kammarherre (victoria),2
high sheriff,2
cashier,2
tryckeriföreståndare,2
ståletsare,2
architectural historian,2
lottförsäljare,2
riksmarskalk,2
prostinna,2
dr jur,2
turnéledare,2
grammarian,2
labourer,2
kardinal inom katolska kyrkan,2
skönlitterär författare,2
trädgårdsarkitekt,2
theatre official,2
kommunalborgmästare,2
bergsmekaniker,2
genremålare,2
m.m.,2
hovdam,2
textillärare,2
penal reformer,2
superintendent of asylum,2
förlagsanställd,2
runologist,2
chief medical officer,2
leipzig,2
blomstermålare,2
catoonist,2
kåsör,2
kejsare,2
fångvårdschef,2
restauratör,2
kejsare av japan,2
craniologist,2
valfångare,2
public health reformer,2
grocer,2
nonjuror,2
havsforskare,2
skrivare,2
länsassessor,2
tonstättare,2
justitieminister,2
fil kand.,2
plant pathologist,2
husjungfru,2
professor i teoretisk fysik,2
gymnasielektor,2
beautician,2
pressfotograf,2
kosmolog,2
fabriksdisponent,2
lord high treasurer,2
underkonduktör,2
polemist,2
universitetstjänsteman,2
music editor,2
picture dealer,2
arkivchef,2
kanik,2
medical editor,2
professor i svenska språket,2
ironworker,2
annonschef,2
smed,2
konstkännare,2
överlantmätare,2
dealer in minerals,2
dialektforskare,2
stadsdirektör,2
county historian,2
sceninstruktör,2
idé- och lärdomshistoriker,2
speleologist,2
limnolog,2
teckningslärarinna,2
markscheider,2
helgon,2
academic administrator,2
regementspastor,2
befälhavare,2
garden designer,2
fur trader,2
drawing master,2
university professor,2
hatter,2
ansvarig för myntverk,2
healer,2
rikskansliråd,2
kokerska,2
balneologist,2
bitr. professor,2
balloonist,2
fil.stud.,2
docent i lund,2
ordboksredaktör,2
french revolutionary,2
professor i klassiska studier.,2
satirist,2
yrkesinspektör,2
