,Yrke,Antal,SBL_SKBL
708,Salpetersjuderidirektör,,SBL_only
709,Samepolitiker,,SBL_only
710,Samhällsdebattör,,SBL_only
711,Samlare,,SBL_only
712,Scenograf,,SBL_only
713,Schackspelare,,SBL_only
714,Schatullmakare,,SBL_only
715,Scoutledare,,SBL_only
716,Scoutpionjär,,SBL_only
717,Segelmakare,,SBL_only
718,Seglare,,SBL_only
719,Sexualupplysare,3,both
720,Silversmed,2,both
721,Sjukgymnast,6,both
722,Sjukhusgrundare,,SBL_only
723,Sjuksköterska,2,both
724,Sjuksköterskeinspektör,,SBL_only
725,Sjöförsvarsminister,,SBL_only
726,Sjökapten,,SBL_only
727,Sjöman,,SBL_only
728,Sjömätare,,SBL_only
729,Sjöofficer,,SBL_only
730,Sjörövare,,SBL_only
731,Skald,,SBL_only
732,Skarpskytteledare,,SBL_only
733,Skattejurist,,SBL_only
734,Skeppsbyggare,,SBL_only
735,Skeppsbyggmästare,,SBL_only
736,Skeppsbyggnadsingenjör,,SBL_only
737,Skeppsmätare,,SBL_only
738,Skeppsredare,,SBL_only
739,Skidpionjär,,SBL_only
740,Skivbolagsgrundare,,SBL_only
741,Skogsforskare,,SBL_only
742,Skogsman,,SBL_only
743,Skolföreståndare,15,both
744,Skolgrundare,18,both
745,Skolkökspionjär,,SBL_only
746,Skolman,,SBL_only
747,Skolpolitiker,,SBL_only
748,Skolryttare,,SBL_only
749,Skomakare,,SBL_only
750,Skriftställare,,SBL_only
751,Skräddare,,SBL_only
752,Skulptör,2,both
753,Skådespelare,80,both
754,Slavist,,SBL_only
755,Slottsfogde,,SBL_only
756,Slottshauptman,,SBL_only
757,Slöjdskolegrundare,,SBL_only
758,Smed,,SBL_only
759,Snickare,,SBL_only
760,Socialarbetare,1,both
761,Socialminister,,SBL_only
762,Socialpolitiker,,SBL_only
763,Sociolog,,SBL_only
764,Socionom,,SBL_only
765,Spannmålshandlare,,SBL_only
766,Spegelfabrikant,,SBL_only
767,Spektroskopist,,SBL_only
768,Spelman,,SBL_only
769,Spion,,SBL_only
770,Spjutkastare,,SBL_only
771,Sportfiskare,,SBL_only
772,Sportjournalist,,SBL_only
773,Språkforskare,,SBL_only
774,Språklärare,,SBL_only
775,Sprängämneskemist,,SBL_only
776,Spådam,,SBL_only
777,Stadsarkitekt,,SBL_only
778,Stadsbyggnadsdirektör,,SBL_only
